school_name,School ID,Type,Programmes,Suburb,Actively Working In,latitude,longitude,Google Maps,Total Children,Total Youth,Total Sessions
Sikhulise Pre-School,205,ECD,"Numeracy,1000 Stories",Kwazakhele,checked,-33.88699,25.60284458,"https://www.google.com/maps?q=-33.88699010517925,25.602844575246717",14,0,325
Sinethemba,291,ECD,Literacy,Motherwell,checked,-33.801531,25.59155759,"https://www.google.com/maps?q=-33.80153065048994,25.59155758868933",21,2,2536
Sisonke,313,ECD,Literacy,New Brighton,checked,-33.886378,25.6077594,"https://www.google.com/maps?q=-33.88637770968649,25.607759402455912",10,1,774
Siyabulela ,92,ECD,Zazi Izandi,Motherwell,,-33.807099,25.59429308,"https://www.google.com/maps?q=-33.80709897604242,25.594293076287823",32,2,148
Siyaphambili,69,Primary,Zazi Izandi,Motherwell,checked,-33.802282,25.61393552,"https://www.google.com/maps?q=-33.802281568264256,25.613935522482386",23,0,3
Sizamokuhle Daycare,221,ECD,Numeracy,Motherwell,checked,-33.802257,25.59773858,"https://www.google.com/maps?q=-33.80225674195678,25.597738581028427",40,0,340
Smarties,269,ECD,1000 Stories,Zwide,checked,-33.972831,25.59451438,"https://www.google.com/maps?q=-33.972831203822736,25.594514381535475",0,0,63
Sophakama Pre-School,219,ECD,Numeracy,Motherwell,checked,-33.782244,25.58800368,"https://www.google.com/maps?q=-33.78224408988202,25.588003675063817",22,0,20
Soqhayisa,34,High School,Top Learners High School,Motherwell,checked,-33.804487,,,103,0,0
Spencer Mabija,93,Primary,Zazi Izandi,KwaMagxaki,checked,-33.843326,25.53820656,"https://www.google.com/maps?q=-33.8433263086302,25.538206555014753",34,0,0
St James,35,High School,Top Learners High School,Schauderville,checked,-33.935186,25.57308583,"https://www.google.com/maps?q=-33.935186340124766,25.57308582618465",7,0,0
St Joseph'S,124,Primary,Zazi Izandi,Gerald Smith,checked,-33.925149,25.5015482,"https://www.google.com/maps?q=-33.92514908732505,25.501548195694134",12,0,0
St Mary Magdalene,103,ECD,Zazi Izandi,Motherwell,,,,,5,0,23
St Teresa'S (Rc),160,Primary,Zazi Izandi,Schauderville,checked,-33.936171,25.57364412,"https://www.google.com/maps?q=-33.93617066037834,25.573644124337257",134,0,1
St Thomas,38,High School,Top Learners High School,Gelvandale,checked,-33.919038,25.55710498,"https://www.google.com/maps?q=-33.91903837522131,25.557104980159565",10,0,0
Stephen Mazungula,50,Primary,"Zazi Izandi,1000 Stories",New Brighton,checked,-33.891207,25.59182997,"https://www.google.com/maps?q=-33.891207206031346,25.591829967880322",54,1,76
Stephen Nkomo,135,Primary,Zazi Izandi,KwaNobuhle,checked,-33.797305,25.39660211,"https://www.google.com/maps?q=-33.79730474214001,25.39660210714066",88,0,3
Strelitzia,102,Primary,"Zazi Izandi,YearBeyond",Bethelsdorp,checked,-33.86085,25.49433186,"https://www.google.com/maps?q=-33.86084971218498,25.494331859203484",191,0,0
Sume Centre,286,ECD,"Literacy,Numeracy",New Brighton,checked,-33.895676,25.59227928,"https://www.google.com/maps?q=-33.89567557955318,25.592279281375124",65,2,2509
Sunnyside,251,ECD,1000 Stories,New Brighton,checked,-33.901973,25.59839494,"https://www.google.com/maps?q=-33.901973,25.59839494",0,0,41
Swartkops,126,Primary,Zazi Izandi,Swartkops,checked,-33.86481,25.60248345,"https://www.google.com/maps?q=-33.86481036232352,25.60248344790797",178,0,11
Takalani Daycare,211,ECD,Numeracy,Kwazakhele,checked,-33.87267,25.57540569,"https://www.google.com/maps?q=-33.87266979315427,25.57540568700903",54,0,341
Thandabantwana Daycare,217,ECD,Numeracy,Motherwell,checked,-33.789111,25.58305465,"https://www.google.com/maps?q=-33.789111489952816,25.583054653183687",41,0,267
Thandi's Educare & Aftercare,259,ECD,1000 Stories,New Brighton,checked,,,,0,0,102
Thembalethu,107,ECD,Zazi Izandi,New Brighton,,-33.907308,25.60010112,"https://www.google.com/maps?q=-33.907308243779894,25.600101123128002",24,0,34
Tinara,30,High School,Top Learners High School,Uitenhage,checked,-33.811683,25.39749493,"https://www.google.com/maps?q=-33.81168265916304,25.39749492617769",4,0,0
Triomf,188,Primary,Zazi Izandi,Salsoneville,checked,-33.887592,25.51036135,"https://www.google.com/maps?q=-33.887591946171945,25.510361352695163",134,0,0
Tyhilulwazi,40,High School,Top Learners High School,Zinyoka,checked,-33.86242,25.54295925,"https://www.google.com/maps?q=-33.86241977569894,25.542959253168434",15,0,0
Uitenhage,143,Primary,Zazi Izandi,Gambleville,checked,-33.74134,25.37387277,"https://www.google.com/maps?q=-33.741339584584864,25.373872766655698",210,0,14
Umzam'omhle Educare,273,ECD,1000 Stories,Bethelsdorp,checked,-33.861112,25.54003268,"https://www.google.com/maps?q=-33.861112481802856,25.540032681528714",0,0,69
Van Der Kemp,149,Primary,Zazi Izandi,Salt Lake,checked,-33.888971,25.53330291,"https://www.google.com/maps?q=-33.88897059949112,25.533302910840597",86,0,0
Van Stadens,174,Primary,Zazi Izandi,Thornhill,checked,-33.909612,25.2166628,"https://www.google.com/maps?q=-33.9096117993681,25.216662801609772",58,0,0
Verite,134,Primary,Zazi Izandi,Rosedale,checked,-33.738524,25.36677901,"https://www.google.com/maps?q=-33.73852389516339,25.366779012202546",29,0,0
Vezubuhle,84,Primary,Zazi Izandi,Motherwell,checked,-33.817221,25.59246774,"https://www.google.com/maps?q=-33.81722093098663,25.592467737824485",62,0,0
VM Kwinana,21,High School,Top Learners High School,Uitenhage,checked,-33.79769,25.39720291,"https://www.google.com/maps?q=-33.797690474419525,25.39720291083548",18,0,0
Vuba,128,Primary,Zazi Izandi,KwaNobuhle,checked,-33.799112,25.38556861,"https://www.google.com/maps?q=-33.799111783823626,25.385568608988237",0,0,6
Vukanibantu,80,Primary,Zazi Izandi,Motherwell,checked,-33.826446,25.59781321,"https://www.google.com/maps?q=-33.82644608977926,25.597813210837128",105,0,0
Vulamazibuko,7,High School,Top Learners High School,East London,checked,-32.939983,27.74764259,"https://www.google.com/maps?q=-32.939982880110065,27.74764258934256",32,0,0
Vulumzi,19,High School,Top Learners High School,Motherwell,checked,-33.827315,25.5946804,"https://www.google.com/maps?q=-33.82731543106958,25.59468039549589",27,0,0
W B Tshume,150,Primary,Zazi Izandi,Kwazakhele,checked,-33.868539,25.58098075,"https://www.google.com/maps?q=-33.8685393120859,25.58098074801691",119,0,3
Walmer,200,Primary,Zazi Izandi,Walmer,checked,-33.983145,25.59204782,"https://www.google.com/maps?q=-33.98314458768467,25.592047824594495",19,0,10
Walmer HS,12,High School,Top Learners High School,Walmer,checked,-33.984663,25.58707228,"https://www.google.com/maps?q=-33.98466340728998,25.587072282010705",20,0,0
West End,136,Primary,Zazi Izandi,Bethelsdorp,checked,-33.881385,25.51862858,"https://www.google.com/maps?q=-33.88138484719807,25.518628582004904",54,0,34
Winterberg,120,Primary,Zazi Izandi,Gerald Smith,checked,-33.769461,25.39377555,"https://www.google.com/maps?q=-33.769461193223336,25.39377555316326",153,0,0
Wongalethu,9,High School,Top Learners High School,East London,checked,-32.95013,27.74998477,"https://www.google.com/maps?q=-32.95013003109316,27.749984766612005",21,0,0
Yellowwoods,178,Primary,Zazi Izandi,Witteklip,checked,-33.903179,25.25738364,"https://www.google.com/maps?q=-33.903179445739774,25.25738363920157",68,0,0
Zanolwazi,11,High School,Top Learners High School,Despatch,,,,,4,0,0
Zanoxolo,58,Primary,Zazi Izandi,Motherwell,checked,-33.797113,25.60487174,"https://www.google.com/maps?q=-33.79711267861864,25.60487173967095",88,0,0
Zizamele,304,ECD,Literacy,New Brighton,checked,-33.892751,25.60417254,"https://www.google.com/maps?q=-33.892751,25.60417254",21,2,1831
