school_name,School ID,Type,Programmes,Suburb,Actively Working In,latitude,longitude,Google Maps,Total Children,Total Youth,Total Sessions
Greenville,112,Primary,Zazi Izandi,Chatty,checked,-33.870826,25.50163708,"https://www.google.com/maps?q=-33.87082617881431,25.50163708015685",39,0,9
Helenvale,145,Primary,Zazi Izandi,Helenvale,checked,-33.910843,25.55188882,"https://www.google.com/maps?q=-33.9108431517283,25.55188882064093",131,0,19
Hillcrest,166,Primary,Zazi Izandi,Helenvale,checked,-33.707917,25.54532815,"https://www.google.com/maps?q=-33.70791650168423,25.545328145437544",72,0,0
Hlokoma,44,High School,Top Learners High School,East London,,,,,7,0,0
Holy Name Community,261,ECD,1000 Stories,Kwazakhele,checked,-33.904184,25.59829863,"https://www.google.com/maps?q=-33.904184489353234,25.598298627540355",0,0,25
Hombakazi,184,Primary,Zazi Izandi,KwaNobuhle,checked,-33.820426,25.39174476,"https://www.google.com/maps?q=-33.82042561941802,25.391744764339418",208,0,0
Ikamvalethu,250,ECD,1000 Stories,Kwazakhele,checked,-33.798033,25.5810718,"https://www.google.com/maps?q=-33.798033,25.5810718",0,0,78
Ikhwezelihle,95,Primary,Zazi Izandi,Motherwell,checked,-33.817415,25.5837617,"https://www.google.com/maps?q=-33.81741541345923,25.583761695495234",27,0,0
Ilinge,175,Primary,Zazi Izandi,KwaLanga,checked,-33.743041,25.38749504,"https://www.google.com/maps?q=-33.743040809177266,25.387495037345733",77,0,0
Ilithalethu,94,ECD,Zazi Izandi,Motherwell,,-33.781716,25.58129948,"https://www.google.com/maps?q=-33.7817163663,25.58129947814828",12,1,75
Inkqubela,55,Primary,Zazi Izandi,Kwazakhele,checked,-33.877579,25.60279,"https://www.google.com/maps?q=-33.87757949882382,25.602789998568316",21,0,0
Isaac Booi,277,Primary,"Literacy,Zazi Izandi,1000 Stories,YearBeyond,EduTech",Zwide,checked,-33.869901,25.56702346,"https://www.google.com/maps?q=-33.86990109981518,25.567023463076644",284,13,6109
Isilimela,8,High School,Top Learners High School,Berlin,checked,-33.945811,18.54018845,"https://www.google.com/maps?q=-33.94581126476353,18.540188445221464",13,0,0
Ithembelihle,13,High School,Top Learners High School,New Brighton,checked,-33.902457,25.58552687,"https://www.google.com/maps?q=-33.90245668679504,25.585526866664686",25,0,0
J K Zondi,169,Primary,Zazi Izandi,Kwazakhele,checked,-33.877141,25.57278062,"https://www.google.com/maps?q=-33.877140564915294,25.57278062385935",101,0,8
